ID,Name,Municipality_ID,CreatedOn,CreatedBy,LastUpdate,UpdateBy,Deleted
1,S GRAVENMOER,766,2021-10-06 18:30:06,System - import,2021-10-06 18:30:06,System - import,0
2,S-GRAVELAND,1696,2021-10-06 18:30:07,System - import,2021-10-06 18:30:07,System - import,0
3,S-GRAVENDEEL,517,2021-10-06 18:30:07,System - import,2021-10-06 18:30:07,System - import,0
4,S-GRAVENHAGE,518,2021-10-06 18:30:09,System - import,2021-10-06 18:30:09,System - import,0
5,S-GRAVENPOLDER,654,2021-10-06 18:32:13,System - import,2021-10-06 18:32:13,System - import,0
6,S-GRAVENZANDE,519,2021-10-06 18:32:14,System - import,2021-10-06 18:32:14,System - import,0
7,S-HEER ABTSKERKE,654,2021-10-06 18:32:19,System - import,2021-10-06 18:32:19,System - import,0
8,S-HEER ARENDSKERKE,664,2021-10-06 18:32:20,System - import,2021-10-06 18:32:20,System - import,0
9,S-HEER HENDRIKSKINDEREN,664,2021-10-06 18:32:20,System - import,2021-10-06 18:32:20,System - import,0
10,S-HEERENBERG,207,2021-10-06 18:32:21,System - import,2021-10-06 18:32:21,System - import,0
11,S-HEERENBROEK,166,2021-10-06 18:32:23,System - import,2021-10-06 18:32:23,System - import,0
12,S-HEERENHOEK,654,2021-10-06 18:32:23,System - import,2021-10-06 18:32:23,System - import,0
13,S-HERTOGENBOSCH,796,2021-10-06 18:32:24,System - import,2021-10-06 18:32:24,System - import,0
14,T GOY,321,2021-10-06 18:32:52,System - import,2021-10-06 18:32:52,System - import,0
15,T HAANTJE,109,2021-10-06 18:32:52,System - import,2021-10-06 18:32:52,System - import,0
16,T HARDE,230,2021-10-06 18:32:52,System - import,2021-10-06 18:32:52,System - import,0
17,T LOO OLDEBROEK,269,2021-10-06 18:32:53,System - import,2021-10-06 18:32:53,System - import,0
18,T VELD,412,2021-10-06 18:32:54,System - import,2021-10-06 18:32:54,System - import,0
19,T WAAR,39,2021-10-06 18:32:54,System - import,2021-10-06 18:32:54,System - import,0
20,T ZAND NH,476,2021-10-06 18:32:54,System - import,2021-10-06 18:32:54,System - import,0
21,T ZANDT GN,24,2021-10-06 18:32:55,System - import,2021-10-06 18:32:55,System - import,0
22,AADORP,141,2021-10-06 18:32:55,System - import,2021-10-06 18:32:55,System - import,0
23,AAGTEKERKE,717,2021-10-06 18:32:55,System - import,2021-10-06 18:32:55,System - import,0
24,AALDEN,109,2021-10-06 18:32:56,System - import,2021-10-06 18:32:56,System - import,0
25,AALSMEER,358,2021-10-06 18:32:57,System - import,2021-10-06 18:32:57,System - import,0
26,AALSMEERDERBRUG,394,2021-10-06 18:33:01,System - import,2021-10-06 18:33:01,System - import,0
27,AALST GLD,297,2021-10-06 18:33:01,System - import,2021-10-06 18:33:01,System - import,0
28,AALTEN,197,2021-10-06 18:33:02,System - import,2021-10-06 18:33:02,System - import,0
29,AALZUM,58,2021-10-06 18:33:06,System - import,2021-10-06 18:33:06,System - import,0
30,AARDENBURG,1714,2021-10-06 18:33:06,System - import,2021-10-06 18:33:06,System - import,0
31,AARLANDERVEEN,484,2021-10-06 18:33:07,System - import,2021-10-06 18:33:07,System - import,0
32,AARLE RIXTEL,1659,2021-10-06 18:33:08,System - import,2021-10-06 18:33:08,System - import,0
33,AARTSWOUD,432,2021-10-06 18:33:09,System - import,2021-10-06 18:33:09,System - import,0
34,ABBEGA,683,2021-10-06 18:33:10,System - import,2021-10-06 18:33:10,System - import,0
35,ABBEKERK,529,2021-10-06 18:33:10,System - import,2021-10-06 18:33:10,System - import,0
36,ABBENBROEK,568,2021-10-06 18:33:10,System - import,2021-10-06 18:33:10,System - import,0
37,ABBENES,394,2021-10-06 18:33:11,System - import,2021-10-06 18:33:11,System - import,0
38,ABCOUDE,305,2021-10-06 18:33:11,System - import,2021-10-06 18:33:11,System - import,0
39,ACHLUM,70,2021-10-06 18:33:13,System - import,2021-10-06 18:33:13,System - import,0
40,ACHTERVELD,327,2021-10-06 18:33:13,System - import,2021-10-06 18:33:13,System - import,0
41,ACHTHUIZEN,580,2021-10-06 18:33:14,System - import,2021-10-06 18:33:14,System - import,0
42,ACHTMAAL,879,2021-10-06 18:33:14,System - import,2021-10-06 18:33:14,System - import,0
43,ACQUOY,236,2021-10-06 18:33:15,System - import,2021-10-06 18:33:15,System - import,0
44,ADORP,53,2021-10-06 18:33:15,System - import,2021-10-06 18:33:15,System - import,0
45,ADUARD,56,2021-10-06 18:33:15,System - import,2021-10-06 18:33:15,System - import,0
46,AERDENHOUT,377,2021-10-06 18:33:16,System - import,2021-10-06 18:33:16,System - import,0
47,AERDT,196,2021-10-06 18:33:17,System - import,2021-10-06 18:33:17,System - import,0
48,AFFERDEN GLD,225,2021-10-06 18:33:17,System - import,2021-10-06 18:33:17,System - import,0
49,AFFERDEN LB,893,2021-10-06 18:33:18,System - import,2021-10-06 18:33:18,System - import,0
