ID,Name,CreatedOn,CreatedBy,LastUpdate,UpdateBy,Deleted
3,APPINGEDAM,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
5,BEDUM,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
7,BELLINGWEDDE,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
9,TEN BOER,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
10,DELFZIJL,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
14,GRONINGEN,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
15,GROOTEGAST,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
17,HAREN,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
18,HOOGEZAND-SAPPEMEER,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
22,LEEK,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
24,LOPPERSUM,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
25,MARUM,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
34,ALMERE,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
37,STADSKANAAL,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
39,SCHEEMDA,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
40,SLOCHTEREN,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
47,VEENDAM,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
48,VLAGTWEDDE,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
50,ZEEWOLDE,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
51,SKARSTERLN,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
52,WINSCHOTEN,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
53,WINSUM,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
55,BOARNSTERHIM,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
56,ZUIDHORN,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
58,DONGERADEEL,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
59,ACHTKARSPELEN,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
60,AMELAND,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
63,HET BILDT,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
64,BOLSWARD,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
65,DANTUMADEEL,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
70,FRANEKERADEEL,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
72,HARLINGEN,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
74,HEERENVEEN,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
79,KOLLUMERLAND CA,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
80,LEEUWARDEN,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
81,LEEUWARDERADEEL,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
82,LEMSTERLAND,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
83,MENALDUMADEEL,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
85,OOSTSTELLINGWERF,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
86,OPSTERLAND,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
88,SCHIERMONNIKOOG,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
90,SMALLINGERLAND,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
91,SNEEK,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
93,TERSCHELLING,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
96,VLIELAND,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
98,WESTSTELLINGWERF,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
104,NYEFURD,2021-10-06 18:29:56,System - import,2021-10-06 18:29:56,System - import,0
106,ASSEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
109,COEVORDEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
114,EMMEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
118,HOOGEVEEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
119,MEPPEL,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
140,LITTENSERADIEL,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
141,ALMELO,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
144,BATHMEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
147,BORNE,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
148,DALFSEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
150,DEVENTER,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
153,ENSCHEDE,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
158,HAAKSBERGEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
160,HARDENBERG,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
163,HELLENDOORN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
164,HENGELO OV,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
166,KAMPEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
168,LOSSER,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
171,NOORDOOSTPOLDER,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
173,OLDENZAAL,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
175,OMMEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
177,RAALTE,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
178,RIJSSEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
180,STAPHORST,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
183,TUBBERGEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
184,URK,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
189,WIERDEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
193,ZWOLLE,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
196,RIJNWAARDEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
197,AALTEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
199,ANGERLO,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
200,APELDOORN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
202,ARNHEM,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
203,BARNEVELD,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
207,BERGH,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
209,BEUNINGEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
211,BORCULO,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
213,BRUMMEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
214,BUREN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
216,CULEMBORG,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
218,DIDAM,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
219,DINXPERLO,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
221,DOESBURG,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
222,DOETINCHEM,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
225,DRUTEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
226,DUIVEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
228,EDE,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
229,EIBERGEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
230,ELBURG,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
232,EPE,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
233,ERMELO,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
236,GELDERMALSEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
237,GENDRINGEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
239,GORSSEL,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
240,GROENLO,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
241,GROESBEEK,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
243,HARDERWIJK,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
244,HATTEM,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
246,HEERDE,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
248,HENGELO GLD,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
252,HEUMEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
256,HUMMELO EN KEPPEL,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
258,KESTEREN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
260,LICHTENVOORDE,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
262,LOCHEM,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
263,MAASDRIEL,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
265,MILLINGEN AAN DE RIJN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
266,NEEDE,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
267,NIJKERK,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
268,NIJMEGEN,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
269,OLDEBROEK,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
