ID,Name,Phone,Email,StreetName,HouseNumber,Zipcode,City,CreatedOn,CreatedBy,LastUpdate,UpdateBy,Deleted,OpeningTime_ID
1,Amsterdam Aalsmeerweg,0204122131,"",Aalsmeerweg,14,1059NJ,Amsterdam,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
2,Amsterdam Bos en Lommerweg,0206847676,"",Bos en Lommerweg,215,1055DT,AMSTERDAM,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
3,Amsterdam Ceintuurbaan,0204705292,"",Ceintuurbaan,314,1072GL,AMSTERDAM,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
4,Amsterdam Noord,0203340008,"",Kamperfoelieweg,40,1032HP,AMSTERDAM,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
5,Amsterdam Oostelijke Handelskade,0204350660,"",Oostelijke Handelskade,142,1019BP,AMSTERDAM,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
6,Amsterdam Overtoom,0204122131,"",Overtoom,71,1054HC,AMSTERDAM,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
7,Osdorp,0206673880,"",Pieter Calandlaan,212 e,1069LA,Osdorp,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
8,Den Haag Goudenregenplein,0703616111,"",Goudenregenplein,3,2565GH,DEN HAAG,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
9,Den Haag Oude Haagweg,0704400020,"",Oude Haagweg,36,2552EP,DEN HAAG,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
10,Den Haag Torenstraat,0703467757,"",Torenstraat,140,2513BW,DEN HAAG,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
11,Scheveningen,0703060022,"",Zeesluisweg,6,2583DR,Scheveningen,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
12,Assen,0592350060,"",Troelstralaan,199 A,9402BG,ASSEN,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
13,Emmen,0591724400,"",Spoorstraat,6,7811GC,EMMEN,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
14,Meppel,0522743110,"",Prinsengracht,13,7941KD,Meppel,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
15,Almere,0365359494,"",Cinemadreef,238,1325ES,ALMERE,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
16,Almere Buiten,0365213990,"",Makassarweg,209,1335HW,ALMERE BUITEN,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
17,Lelystad,0320213018,"",Weverstraat,26,8223AC,LELYSTAD,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
18,Drachten,0512510015,"",Noordkade,56,9203CE,DRACHTEN,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
19,Heerenveen,0513625635,"",Trambaan,11,8441BH,HEERENVEEN,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
20,Leeuwarden,0582120026,"",Oostergrachtswal,5,8921AA,LEEUWARDEN,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
21,Sneek,0515411045,"",Gedempte Pol,32,8601BZ,SNEEK,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
22,Apeldoorn,0555761188,"",Arnhemseweg,251,7333NA,Apeldoorn,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
23,Arnhem,0263883993,"",Middelgraaflaan,65,6832AP,ARNHEM,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
24,Arnhem Centrum,0263510100,"",Jansbinnensingel,27,6811AL,ARNHEM,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
25,Ede,0318504100,"",Rozenplein,62,6713EN,Ede,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
26,Harderwijk,0341410010,"",Vondellaan,90,3842EJ,HARDERWIJK,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
27,Nijmegen,0243500670,"",Groenestraat,243,6531HJ,NIJMEGEN,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
28,Tiel,0344610004,"",Plein,53,4001LH,TIEL,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
29,Velp,0263610001,"",Churchillplein,71,6883AR,VELP,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
30,Wageningen,0317410040,"",Stadsbrink,34,6701AL,WAGENINGEN,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
31,Wijchen,0242100100,"",Touwslagersbaan,7B,6602AH,WIJCHEN,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
32,Delfzijl,0596743101,"",De Wending,7,9933KM,delfzijl,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
33,Groningen Boterdiep,0505266600,"",Boterdiep,1,9712LH,GRONINGEN,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
34,Groningen Paddepoel,0505710012,"",Zonnelaan,281A,9742BG,GRONINGEN,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
35,Groningen Paterswoldseweg,0505250300,"",Paterswoldseweg,322,9727BX,GRONINGEN,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
36,Hoogezand,0598743103,"",Gorecht-Oost,76,9603AC,Hoogezand,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
37,AC Sevenum,0774672895,"",Kleefdijkseweg,29,5975NV,Sevenum,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
38,Brunssum,0452100121,"",Schiffelerstraat,15-17,6441CN,Brunssum,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
39,Geleen,0462100106,"",Rijksweg Centrum,68,6161EH,GELEEN,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
40,Landgraaf,0452100120,"",Hoogstraat,54,6373HW,landgraaf,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
41,Maastricht,0433216747,"",Koningin Emmaplein,18,6211NG,Maastricht,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
42,Roermond,0475310012,"",Stationsplein,14,6041GN,ROERMOND,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
43,Sittard,0464000143,"",Stationsstraat,49,6131AX,SITTARD,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
44,Venlo,0773510000,"",Koninginnensingel,80,5911KG,VENLO,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
45,Weert,0495520030,"",Dries,8,6006HS,WEERT,2021-10-06 18:29:54,System - import,2021-10-06 18:29:54,System - import,0,0
46,Bergen op Zoom,0164247030,"",Antwerpsestraat,2,4611AG,BERGEN OP ZOOM,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
47,Breda Graaf Hendrik III Plein,0765200345,"",Graaf Hendrik III plein,51,4819CK,BREDA,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
48,Breda Kesterenlaan,0765422113,"",Kesterenlaan,170,4822WK,BREDA,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
49,Den Bosch,0736233111,"",Leonardo da Vinciplein,44,5223DR,Den Bosch,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
50,Den Bosch Empel,0736444222,"",Burg.Godschalxstraat,42,5236AC,DEN BOSCH,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
51,Dongen,0162749101,"",Europaplein,53,5101VW,DONGEN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
52,Eindhoven Gestel,0402570999,"",Karel de Grotelaan,351,5654NN,Eindhoven,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
53,Eindhoven Tongelre,0404100121,"",Dirigentplein,97,5642RK,EINDHOVEN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
54,Eindhoven Woensel,0402483060,"",Elckerlyclaan,77,5625EP,EINDHOVEN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
55,Etten Leur,0765081111,"",Markt,99b,4875CD,ETTEN LEUR,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
56,Geldrop,0402854087,"",Dommeldalseweg,2b,5664RP,GELDROP,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
57,Helmond,0492552878,"",Noord Koninginnewal,23,5701NJ,HELMOND,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
58,Helmond Brandevoort,0492743013,"",De Plaetse,91,5708ZK,HELMOND,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
